First author,Org 1,Org 2,Org 3,Org 4
Lobo,Knowledge Media Institute,,,
Madan,Reading,,,
Ungless,Edinburgh,,,
Tschopp,Leibniz,Tuebingen,,
Budić,Belgrade,,,
Chen,Delft,Twente,,
Pregent,Leiden,,,
Dorsch,Edinburgh,,,
Sahlgren,Tampere,,,
Balakrishnan,Singapore,,,
Chapman,Berkeley,,,
Barnett,North Western,,,
Lee,Cornell,,,
Banzon,Florida,,,
Singh,Harvard,,,
Bandy,North Western,,,
Felber,Basel,,,
Verdiesen,Delft,,,
Markl,Edinburgh,,,
Delaney,Dublin,,,
Dini,Turin,Vienna,,
State,Pisa,,,
Xu,Manchester,,,
Schmitt,St. Gallen,,,
Pérez,Knowledge Media Institute,,,
Daniil,CWI,VU,Delft,
Michailidis,Amsterdam,,,
Semler,Oxford,,,
Pardoux,Lyon,,,
Wang,Princeton,,,
